,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,chg,close_price,history_volatility,id,last_close_price,listing_day,month1_volatility,month3_volatility,month6_volatility,nmc,share_code,share_market,share_name,share_pinyin,share_symbol,trade_day,updated_at,week_volatility,year_volatility,res,std_result,pay_amount_rate,c_sigma,c_S,c_K,c_r,c_T
64,64,64,70.0,70.0,70.0,70.0,0.0,15.94,0.0,2713.0,0.0,2009-10-30 00:00:00,45.98,41.35,43.04,35.0,300007.0,sz,汉威电子,hwdz,sz300007,2017-11-05 00:00:00,2017-11-05 15:25:09,36.56,0.0,1.1904,0.0,0.0,45.98,15.94,15.94,3.73,2.0
65,65,65,71.0,71.0,71.0,71.0,-0.0243,5.63,0.0,5.0,6.71,2000-04-27 00:00:00,30.36,34.91,51.67,271.0,600008.0,sh,首创股份,scgf,sh600008,2017-11-05 00:00:00,2017-11-05 15:25:05,18.17,0.0,0.3928,0.0,0.0,51.67,5.63,5.63,3.73,2.0
66,66,66,73.0,73.0,73.0,73.0,-0.0105,8.48,0.0,1389.0,0.0,1997-07-28 00:00:00,34.89,30.65,51.53,164.0,88.0,sz,盐田港,ytg,sz000088,2017-11-05 00:00:00,2017-11-05 15:25:41,25.02,0.0,0.5901,0.0,0.0,51.53,8.48,8.48,3.73,2.0
67,67,67,74.0,74.0,74.0,74.0,0.0023,8.8,0.0,1390.0,0.0,1998-04-20 00:00:00,13.58,14.88,23.88,180.0,89.0,sz,深圳机场,szjc,sz000089,2017-11-05 00:00:00,2017-11-05 15:25:41,12.4,0.0,0.3238,0.0,0.0,23.88,8.8,8.8,3.73,2.0
68,68,68,75.0,75.0,75.0,75.0,-0.0191,7.72,0.0,2714.0,0.0,2009-10-30 00:00:00,40.22,44.38,48.83,44.0,300008.0,sz,天海防务,thfw,sz300008,2017-11-05 00:00:00,2017-11-05 15:25:09,54.11,0.0,0.61,0.0,0.0,54.11,7.72,7.72,3.73,2.0
69,69,69,76.0,76.0,76.0,76.0,0.007,42.94,0.0,6.0,38.27,1998-02-18 00:00:00,42.92,35.23,36.13,469.0,600009.0,sh,上海机场,shjc,sh600009,2017-11-05 00:00:00,2017-11-05 15:25:05,70.36,0.0,3.8205,0.0,0.0,70.36,42.94,42.94,3.73,2.0
70,70,70,78.0,78.0,78.0,78.0,0.0046,10.97,0.0,1391.0,0.0,1999-07-21 00:00:00,28.28,33.12,39.44,84.0,90.0,sz,天健集团,tjjt,sz000090,2017-11-05 00:00:00,2017-11-05 15:25:41,29.67,0.0,0.6221,0.0,0.0,39.44,10.97,10.97,3.73,2.0
71,71,71,79.0,79.0,79.0,79.0,-0.0213,13.3,0.0,1392.0,0.0,2000-07-24 00:00:00,21.66,22.31,28.43,67.0,96.0,sz,广聚能源,gjny,sz000096,2017-11-05 00:00:00,2017-11-05 15:25:41,25.74,0.0,0.5791,0.0,0.0,28.43,13.3,13.3,3.73,2.0
72,72,72,80.0,80.0,80.0,80.0,-0.0885,10.4,0.0,1393.0,0.0,2000-07-31 00:00:00,39.16,28.45,27.95,63.0,99.0,sz,中信海直,zxhz,sz000099,2017-11-05 00:00:00,2017-11-05 15:25:41,66.23,0.0,0.8718,0.0,0.0,66.23,10.4,10.4,3.73,2.0
73,73,73,81.0,81.0,81.0,81.0,0.0354,20.2,0.0,2715.0,0.0,2009-10-30 00:00:00,40.7,41.35,37.56,93.0,300009.0,sz,安科生物,aksw,sz300009,2017-11-05 00:00:00,2017-11-05 15:25:09,46.04,0.0,1.2587,0.0,0.0,46.04,20.2,20.2,3.73,2.0
74,74,74,82.0,82.0,82.0,82.0,-0.0193,2.54,0.0,7.0,2.89,2001-03-09 00:00:00,26.06,45.17,37.61,559.0,600010.0,sh,包钢股份,bggf,sh600010,2017-11-05 00:00:00,2017-11-05 15:25:05,26.06,0.0,0.1553,0.0,0.0,45.17,2.54,2.54,3.73,2.0
75,75,75,84.0,84.0,84.0,84.0,0.0142,4.28,0.0,1394.0,0.0,2004-01-30 00:00:00,47.12,37.25,35.35,385.0,100.0,sz,TCL集团,tcljt,sz000100,2017-11-05 00:00:00,2017-11-05 15:25:41,29.91,0.0,0.2728,0.0,0.0,47.12,4.28,4.28,3.73,2.0
76,76,76,85.0,85.0,85.0,85.0,0.0088,11.43,0.0,2716.0,0.0,2009-10-30 00:00:00,39.41,34.43,39.66,66.0,300010.0,sz,立思辰,lsc,sz300010,2017-11-05 00:00:00,2017-11-05 15:25:10,28.27,0.0,0.6517,0.0,0.0,39.66,11.43,11.43,3.73,2.0
77,77,77,86.0,86.0,86.0,86.0,-0.0104,6.67,0.0,8.0,7.19,2001-12-06 00:00:00,12.8,15.04,25.22,700.0,600011.0,sh,华能国际,hngj,sh600011,2017-11-05 00:00:00,2017-11-05 15:25:05,10.28,0.0,0.2587,0.0,0.0,25.22,6.67,6.67,3.73,2.0
78,78,78,88.0,88.0,88.0,88.0,0.0132,13.8,0.0,2717.0,0.0,2009-10-30 00:00:00,39.38,34.74,45.63,61.0,300011.0,sz,鼎汉技术,dhjs,sz300011,2017-11-05 00:00:00,2017-11-05 15:25:10,44.81,0.0,0.8524,0.0,0.0,45.63,13.8,13.8,3.73,2.0
79,79,79,89.0,89.0,89.0,89.0,0.0333,13.34,0.0,9.0,12.99,2003-01-07 00:00:00,24.16,25.21,30.81,155.0,600012.0,sh,皖通高速,wtgs,sh600012,2017-11-05 00:00:00,2017-11-05 15:25:05,36.68,0.0,0.7048,0.0,0.0,36.68,13.34,13.34,3.73,2.0
80,80,80,91.0,91.0,91.0,91.0,0.0429,5.1,0.0,2718.0,0.0,2009-10-30 00:00:00,39.48,32.98,42.15,74.0,300012.0,sz,华测检测,hcjc,sz300012,2017-11-05 00:00:00,2017-11-05 15:25:10,36.73,0.0,0.3086,0.0,0.0,42.15,5.1,5.1,3.73,2.0
